freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,IE,2020-01-01,205
A,VI_PPS_EU27_2020_HAB,GDP,IE,2021-01-01,225
A,VI_PPS_EU27_2020_HAB,GDP,IE,2022-01-01,237
A,VI_PPS_EU27_2020_HAB,GDP,IE,2023-01-01,218
A,VI_PPS_EU27_2020_HAB,GDP,IE,2024-01-01,221
A,VI_PPS_EU27_2020_HAB,GDP,IE,2025-01-01,237
A,VI_PPS_EU27_2020_HAB,GDP,IS,2014-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,IS,2015-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,IS,2016-01-01,135
A,VI_PPS_EU27_2020_HAB,GDP,IS,2017-01-01,133
A,VI_PPS_EU27_2020_HAB,GDP,IS,2018-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,IS,2019-01-01,129
A,VI_PPS_EU27_2020_HAB,GDP,IS,2020-01-01,123
A,VI_PPS_EU27_2020_HAB,GDP,IS,2021-01-01,124
A,VI_PPS_EU27_2020_HAB,GDP,IS,2022-01-01,135
A,VI_PPS_EU27_2020_HAB,GDP,IS,2023-01-01,136
A,VI_PPS_EU27_2020_HAB,GDP,IS,2024-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,IT,2014-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2015-01-01,97
A,VI_PPS_EU27_2020_HAB,GDP,IT,2016-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,IT,2017-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2018-01-01,97
A,VI_PPS_EU27_2020_HAB,GDP,IT,2019-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,IT,2020-01-01,93
A,VI_PPS_EU27_2020_HAB,GDP,IT,2021-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,IT,2022-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2023-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2024-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2025-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,JP,2014-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,JP,2015-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,JP,2016-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,JP,2017-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,JP,2018-01-01,94
A,VI_PPS_EU27_2020_HAB,GDP,JP,2019-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,JP,2020-01-01,89
A,VI_PPS_EU27_2020_HAB,GDP,JP,2021-01-01,85
A,VI_PPS_EU27_2020_HAB,GDP,JP,2022-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,JP,2023-01-01,83
A,VI_PPS_EU27_2020_HAB,GDP,JP,2024-01-01,82
A,VI_PPS_EU27_2020_HAB,GDP,LT,2014-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,LT,2015-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,LT,2016-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,LT,2017-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,LT,2018-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,LT,2019-01-01,83
A,VI_PPS_EU27_2020_HAB,GDP,LT,2020-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,LT,2021-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,LT,2022-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,LT,2023-01-01,86
A,VI_PPS_EU27_2020_HAB,GDP,LT,2024-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,LT,2025-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,LU,2014-01-01,280
A,VI_PPS_EU27_2020_HAB,GDP,LU,2015-01-01,279
A,VI_PPS_EU27_2020_HAB,GDP,LU,2016-01-01,276
A,VI_PPS_EU27_2020_HAB,GDP,LU,2017-01-01,266
A,VI_PPS_EU27_2020_HAB,GDP,LU,2018-01-01,258
A,VI_PPS_EU27_2020_HAB,GDP,LU,2019-01-01,249
A,VI_PPS_EU27_2020_HAB,GDP,LU,2020-01-01,256
A,VI_PPS_EU27_2020_HAB,GDP,LU,2021-01-01,263
A,VI_PPS_EU27_2020_HAB,GDP,LU,2022-01-01,250
A,VI_PPS_EU27_2020_HAB,GDP,LU,2023-01-01,248
A,VI_PPS_EU27_2020_HAB,GDP,LU,2024-01-01,245
A,VI_PPS_EU27_2020_HAB,GDP,LU,2025-01-01,239
A,VI_PPS_EU27_2020_HAB,GDP,LV,2014-01-01,61
A,VI_PPS_EU27_2020_HAB,GDP,LV,2015-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,LV,2016-01-01,63
A,VI_PPS_EU27_2020_HAB,GDP,LV,2017-01-01,64
A,VI_PPS_EU27_2020_HAB,GDP,LV,2018-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,LV,2019-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,LV,2020-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,LV,2021-01-01,71
A,VI_PPS_EU27_2020_HAB,GDP,LV,2022-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,LV,2023-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,LV,2024-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,LV,2025-01-01,71
A,VI_PPS_EU27_2020_HAB,GDP,ME,2014-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,ME,2015-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,ME,2016-01-01,44
A,VI_PPS_EU27_2020_HAB,GDP,ME,2017-01-01,45
A,VI_PPS_EU27_2020_HAB,GDP,ME,2018-01-01,47
A,VI_PPS_EU27_2020_HAB,GDP,ME,2019-01-01,49
A,VI_PPS_EU27_2020_HAB,GDP,ME,2020-01-01,44
A,VI_PPS_EU27_2020_HAB,GDP,ME,2021-01-01,46
A,VI_PPS_EU27_2020_HAB,GDP,ME,2022-01-01,48
A,VI_PPS_EU27_2020_HAB,GDP,ME,2023-01-01,52
A,VI_PPS_EU27_2020_HAB,GDP,ME,2024-01-01,53
A,VI_PPS_EU27_2020_HAB,GDP,MK,2014-01-01,39
A,VI_PPS_EU27_2020_HAB,GDP,MK,2015-01-01,39
A,VI_PPS_EU27_2020_HAB,GDP,MK,2016-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,MK,2017-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,MK,2018-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,MK,2019-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,MK,2020-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,MK,2021-01-01,43
A,VI_PPS_EU27_2020_HAB,GDP,MK,2022-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,MK,2023-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,MK,2024-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,MT,2014-01-01,94
A,VI_PPS_EU27_2020_HAB,GDP,MT,2015-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,MT,2016-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,MT,2017-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,MT,2018-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,MT,2019-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,MT,2020-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,MT,2021-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,MT,2022-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,MT,2023-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,MT,2024-01-01,110
A,VI_PPS_EU27_2020_HAB,GDP,MT,2025-01-01,110
A,VI_PPS_EU27_2020_HAB,GDP,NL,2014-01-01,133
A,VI_PPS_EU27_2020_HAB,GDP,NL,2015-01-01,132
A,VI_PPS_EU27_2020_HAB,GDP,NL,2016-01-01,130
A,VI_PPS_EU27_2020_HAB,GDP,NL,2017-01-01,130
A,VI_PPS_EU27_2020_HAB,GDP,NL,2018-01-01,130
A,VI_PPS_EU27_2020_HAB,GDP,NL,2019-01-01,128
A,VI_PPS_EU27_2020_HAB,GDP,NL,2020-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,NL,2021-01-01,132
A,VI_PPS_EU27_2020_HAB,GDP,NL,2022-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,NL,2023-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,NL,2024-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,NL,2025-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,NO,2014-01-01,177
A,VI_PPS_EU27_2020_HAB,GDP,NO,2015-01-01,157
A,VI_PPS_EU27_2020_HAB,GDP,NO,2016-01-01,145
A,VI_PPS_EU27_2020_HAB,GDP,NO,2017-01-01,150
A,VI_PPS_EU27_2020_HAB,GDP,NO,2018-01-01,156
A,VI_PPS_EU27_2020_HAB,GDP,NO,2019-01-01,146
A,VI_PPS_EU27_2020_HAB,GDP,NO,2020-01-01,141
A,VI_PPS_EU27_2020_HAB,GDP,NO,2021-01-01,171
A,VI_PPS_EU27_2020_HAB,GDP,NO,2022-01-01,214
A,VI_PPS_EU27_2020_HAB,GDP,NO,2023-01-01,169
A,VI_PPS_EU27_2020_HAB,GDP,NO,2024-01-01,160
A,VI_PPS_EU27_2020_HAB,GDP,PL,2014-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,PL,2015-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,PL,2016-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,PL,2017-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,PL,2018-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,PL,2019-01-01,74
A,VI_PPS_EU27_2020_HAB,GDP,PL,2020-01-01,79
A,VI_PPS_EU27_2020_HAB,GDP,PL,2021-01-01,79
A,VI_PPS_EU27_2020_HAB,GDP,PL,2022-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,PL,2023-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,PL,2024-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,PL,2025-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,PT,2014-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,PT,2015-01-01,76
A,VI_PPS_EU27_2020_HAB,GDP,PT,2016-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,PT,2017-01-01,76
A,VI_PPS_EU27_2020_HAB,GDP,PT,2018-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,PT,2019-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,PT,2020-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,PT,2021-01-01,74
A,VI_PPS_EU27_2020_HAB,GDP,PT,2022-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,PT,2023-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,PT,2024-01-01,82
A,VI_PPS_EU27_2020_HAB,GDP,PT,2025-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,RO,2014-01-01,55
A,VI_PPS_EU27_2020_HAB,GDP,RO,2015-01-01,56
A,VI_PPS_EU27_2020_HAB,GDP,RO,2016-01-01,58
A,VI_PPS_EU27_2020_HAB,GDP,RO,2017-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,RO,2018-01-01,65
A,VI_PPS_EU27_2020_HAB,GDP,RO,2019-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,RO,2020-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,RO,2021-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,RO,2022-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,RO,2023-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,RO,2024-01-01,77
A,VI_PPS_EU27_2020_HAB,GDP,RO,2025-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,RS,2014-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,RS,2015-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,RS,2016-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,RS,2017-01-01,40
A,VI_PPS_EU27_2020_HAB,GDP,RS,2018-01-01,41
A,VI_PPS_EU27_2020_HAB,GDP,RS,2019-01-01,42
A,VI_PPS_EU27_2020_HAB,GDP,RS,2020-01-01,44
A,VI_PPS_EU27_2020_HAB,GDP,RS,2021-01-01,45
A,VI_PPS_EU27_2020_HAB,GDP,RS,2022-01-01,45
A,VI_PPS_EU27_2020_HAB,GDP,RS,2023-01-01,48
A,VI_PPS_EU27_2020_HAB,GDP,RS,2024-01-01,52
A,VI_PPS_EU27_2020_HAB,GDP,SE,2014-01-01,125
A,VI_PPS_EU27_2020_HAB,GDP,SE,2015-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,SE,2016-01-01,123
A,VI_PPS_EU27_2020_HAB,GDP,SE,2017-01-01,119
A,VI_PPS_EU27_2020_HAB,GDP,SE,2018-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,SE,2019-01-01,117
A,VI_PPS_EU27_2020_HAB,GDP,SE,2020-01-01,120
A,VI_PPS_EU27_2020_HAB,GDP,SE,2021-01-01,120
A,VI_PPS_EU27_2020_HAB,GDP,SE,2022-01-01,113
A,VI_PPS_EU27_2020_HAB,GDP,SE,2023-01-01,111
A,VI_PPS_EU27_2020_HAB,GDP,SE,2024-01-01,111
A,VI_PPS_EU27_2020_HAB,GDP,SE,2025-01-01,110
A,VI_PPS_EU27_2020_HAB,GDP,SI,2014-01-01,82
A,VI_PPS_EU27_2020_HAB,GDP,SI,2015-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,SI,2016-01-01,82
A,VI_PPS_EU27_2020_HAB,GDP,SI,2017-01-01,84
A,VI_PPS_EU27_2020_HAB,GDP,SI,2018-01-01,86
A,VI_PPS_EU27_2020_HAB,GDP,SI,2019-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,SI,2020-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,SI,2021-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,SI,2022-01-01,89
A,VI_PPS_EU27_2020_HAB,GDP,SI,2023-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,SI,2024-01-01,90
A,VI_PPS_EU27_2020_HAB,GDP,SI,2025-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,SK,2014-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,SK,2015-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,SK,2016-01-01,73
A,VI_PPS_EU27_2020_HAB,GDP,SK,2017-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,SK,2018-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,SK,2019-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,SK,2020-01-01,74
A,VI_PPS_EU27_2020_HAB,GDP,SK,2021-01-01,74
A,VI_PPS_EU27_2020_HAB,GDP,SK,2022-01-01,71
A,VI_PPS_EU27_2020_HAB,GDP,SK,2023-01-01,74
A,VI_PPS_EU27_2020_HAB,GDP,SK,2024-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,SK,2025-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,TR,2014-01-01,65
A,VI_PPS_EU27_2020_HAB,GDP,TR,2015-01-01,67
A,VI_PPS_EU27_2020_HAB,GDP,TR,2016-01-01,65
A,VI_PPS_EU27_2020_HAB,GDP,TR,2017-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,TR,2018-01-01,64
A,VI_PPS_EU27_2020_HAB,GDP,TR,2019-01-01,60
A,VI_PPS_EU27_2020_HAB,GDP,TR,2020-01-01,61
A,VI_PPS_EU27_2020_HAB,GDP,TR,2021-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,TR,2022-01-01,68
A,VI_PPS_EU27_2020_HAB,GDP,TR,2023-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,TR,2024-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,UK,2014-01-01,111
A,VI_PPS_EU27_2020_HAB,GDP,UK,2015-01-01,111
A,VI_PPS_EU27_2020_HAB,GDP,UK,2016-01-01,108
A,VI_PPS_EU27_2020_HAB,GDP,UK,2017-01-01,108
A,VI_PPS_EU27_2020_HAB,GDP,UK,2018-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,UK,2019-01-01,104
A,VI_PPS_EU27_2020_HAB,GDP,UK,2020-01-01,102
A,VI_PPS_EU27_2020_HAB,GDP,UK,2021-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,UK,2022-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,UK,2023-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,UK,2024-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,US,2014-01-01,147
A,VI_PPS_EU27_2020_HAB,GDP,US,2015-01-01,147
A,VI_PPS_EU27_2020_HAB,GDP,US,2016-01-01,141
A,VI_PPS_EU27_2020_HAB,GDP,US,2017-01-01,139
A,VI_PPS_EU27_2020_HAB,GDP,US,2018-01-01,139
A,VI_PPS_EU27_2020_HAB,GDP,US,2019-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,US,2020-01-01,135
A,VI_PPS_EU27_2020_HAB,GDP,US,2021-01-01,137
A,VI_PPS_EU27_2020_HAB,GDP,US,2022-01-01,133
A,VI_PPS_EU27_2020_HAB,GDP,US,2023-01-01,134
A,VI_PPS_EU27_2020_HAB,GDP,US,2024-01-01,135
