freq.x,nrg_bal,unit,geo,TIME_PERIOD,RenewableShare,freq.y,indic_ppp,ppp_cat18,GDP_per_Capita,name,label
A,REN,PC,AL,2014-01-01,31.856,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2015-01-01,34.913,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2016-01-01,36.953,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2017-01-01,35.776,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2018-01-01,36.572,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2019-01-01,38.042,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2020-01-01,45.015,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,AL,2021-01-01,41.389,A,VI_PPS_EU27_2020_HAB,GDP,31,NA,NA
A,REN,PC,AL,2022-01-01,44.076,A,VI_PPS_EU27_2020_HAB,GDP,33,NA,NA
A,REN,PC,AL,2023-01-01,46.62,A,VI_PPS_EU27_2020_HAB,GDP,38,NA,NA
A,REN,PC,AL,2024-01-01,43.111,A,VI_PPS_EU27_2020_HAB,GDP,42,NA,NA
A,REN,PC,AT,2014-01-01,33.55,A,VI_PPS_EU27_2020_HAB,GDP,129,Austria,Austria
A,REN,PC,AT,2015-01-01,33.497,A,VI_PPS_EU27_2020_HAB,GDP,128,Austria,Austria
A,REN,PC,AT,2016-01-01,33.37,A,VI_PPS_EU27_2020_HAB,GDP,128,Austria,Austria
A,REN,PC,AT,2017-01-01,33.136,A,VI_PPS_EU27_2020_HAB,GDP,125,Austria,Austria
A,REN,PC,AT,2018-01-01,33.784,A,VI_PPS_EU27_2020_HAB,GDP,126,Austria,Austria
A,REN,PC,AT,2019-01-01,33.755,A,VI_PPS_EU27_2020_HAB,GDP,124,Austria,Austria
A,REN,PC,AT,2020-01-01,36.545,A,VI_PPS_EU27_2020_HAB,GDP,123,Austria,Austria
A,REN,PC,AT,2021-01-01,34.643,A,VI_PPS_EU27_2020_HAB,GDP,121,Austria,Austria
A,REN,PC,AT,2022-01-01,34.057,A,VI_PPS_EU27_2020_HAB,GDP,123,Austria,Austria
A,REN,PC,AT,2023-01-01,41.6,A,VI_PPS_EU27_2020_HAB,GDP,121,Austria,Austria
A,REN,PC,AT,2024-01-01,42.951,A,VI_PPS_EU27_2020_HAB,GDP,119,Austria,Austria
A,REN,PC,BA,2014-01-01,24.873,A,VI_PPS_EU27_2020_HAB,GDP,30,NA,NA
A,REN,PC,BA,2015-01-01,26.607,A,VI_PPS_EU27_2020_HAB,GDP,31,NA,NA
A,REN,PC,BA,2016-01-01,25.358,A,VI_PPS_EU27_2020_HAB,GDP,31,NA,NA
A,REN,PC,BA,2017-01-01,23.241,A,VI_PPS_EU27_2020_HAB,GDP,31,NA,NA
A,REN,PC,BA,2018-01-01,35.972,A,VI_PPS_EU27_2020_HAB,GDP,32,NA,NA
A,REN,PC,BA,2019-01-01,37.454,A,VI_PPS_EU27_2020_HAB,GDP,32,NA,NA
A,REN,PC,BA,2020-01-01,39.835,A,VI_PPS_EU27_2020_HAB,GDP,33,NA,NA
A,REN,PC,BA,2021-01-01,36.562,A,VI_PPS_EU27_2020_HAB,GDP,33,NA,NA
A,REN,PC,BA,2022-01-01,39.294,A,VI_PPS_EU27_2020_HAB,GDP,34,NA,NA
A,REN,PC,BA,2023-01-01,40.011,A,VI_PPS_EU27_2020_HAB,GDP,35,NA,NA
A,REN,PC,BE,2014-01-01,8.038,A,VI_PPS_EU27_2020_HAB,GDP,121,Belgium,Belgium
A,REN,PC,BE,2015-01-01,8.06,A,VI_PPS_EU27_2020_HAB,GDP,119,Belgium,Belgium
A,REN,PC,BE,2016-01-01,8.744,A,VI_PPS_EU27_2020_HAB,GDP,118,Belgium,Belgium
A,REN,PC,BE,2017-01-01,9.136,A,VI_PPS_EU27_2020_HAB,GDP,117,Belgium,Belgium
A,REN,PC,BE,2018-01-01,9.472,A,VI_PPS_EU27_2020_HAB,GDP,116,Belgium,Belgium
A,REN,PC,BE,2019-01-01,9.929,A,VI_PPS_EU27_2020_HAB,GDP,117,Belgium,Belgium
A,REN,PC,BE,2020-01-01,13,A,VI_PPS_EU27_2020_HAB,GDP,118,Belgium,Belgium
A,REN,PC,BE,2021-01-01,13.017,A,VI_PPS_EU27_2020_HAB,GDP,117,Belgium,Belgium
A,REN,PC,BE,2022-01-01,13.831,A,VI_PPS_EU27_2020_HAB,GDP,118,Belgium,Belgium
A,REN,PC,BE,2023-01-01,14.673,A,VI_PPS_EU27_2020_HAB,GDP,118,Belgium,Belgium
A,REN,PC,BE,2024-01-01,14.336,A,VI_PPS_EU27_2020_HAB,GDP,117,Belgium,Belgium
A,REN,PC,BG,2014-01-01,18.05,A,VI_PPS_EU27_2020_HAB,GDP,48,Bulgaria,Bulgaria
A,REN,PC,BG,2015-01-01,18.261,A,VI_PPS_EU27_2020_HAB,GDP,49,Bulgaria,Bulgaria
A,REN,PC,BG,2016-01-01,18.76,A,VI_PPS_EU27_2020_HAB,GDP,51,Bulgaria,Bulgaria
A,REN,PC,BG,2017-01-01,18.695,A,VI_PPS_EU27_2020_HAB,GDP,52,Bulgaria,Bulgaria
A,REN,PC,BG,2018-01-01,20.581,A,VI_PPS_EU27_2020_HAB,GDP,53,Bulgaria,Bulgaria
A,REN,PC,BG,2019-01-01,21.545,A,VI_PPS_EU27_2020_HAB,GDP,55,Bulgaria,Bulgaria
A,REN,PC,BG,2020-01-01,23.319,A,VI_PPS_EU27_2020_HAB,GDP,57,Bulgaria,Bulgaria
A,REN,PC,BG,2021-01-01,19.394,A,VI_PPS_EU27_2020_HAB,GDP,60,Bulgaria,Bulgaria
A,REN,PC,BG,2022-01-01,19.079,A,VI_PPS_EU27_2020_HAB,GDP,62,Bulgaria,Bulgaria
A,REN,PC,BG,2023-01-01,23.151,A,VI_PPS_EU27_2020_HAB,GDP,63,Bulgaria,Bulgaria
A,REN,PC,BG,2024-01-01,23.21,A,VI_PPS_EU27_2020_HAB,GDP,66,Bulgaria,Bulgaria
A,REN,PC,CY,2014-01-01,9.144,A,VI_PPS_EU27_2020_HAB,GDP,80,Cyprus,Cyprus
A,REN,PC,CY,2015-01-01,9.903,A,VI_PPS_EU27_2020_HAB,GDP,81,Cyprus,Cyprus
A,REN,PC,CY,2016-01-01,9.833,A,VI_PPS_EU27_2020_HAB,GDP,86,Cyprus,Cyprus
A,REN,PC,CY,2017-01-01,10.478,A,VI_PPS_EU27_2020_HAB,GDP,88,Cyprus,Cyprus
A,REN,PC,CY,2018-01-01,13.873,A,VI_PPS_EU27_2020_HAB,GDP,89,Cyprus,Cyprus
A,REN,PC,CY,2019-01-01,13.777,A,VI_PPS_EU27_2020_HAB,GDP,91,Cyprus,Cyprus
A,REN,PC,CY,2020-01-01,16.879,A,VI_PPS_EU27_2020_HAB,GDP,89,Cyprus,Cyprus
A,REN,PC,CY,2021-01-01,19.069,A,VI_PPS_EU27_2020_HAB,GDP,92,Cyprus,Cyprus
A,REN,PC,CY,2022-01-01,19.427,A,VI_PPS_EU27_2020_HAB,GDP,95,Cyprus,Cyprus
A,REN,PC,CY,2023-01-01,20.213,A,VI_PPS_EU27_2020_HAB,GDP,97,Cyprus,Cyprus
A,REN,PC,CY,2024-01-01,20.844,A,VI_PPS_EU27_2020_HAB,GDP,99,Cyprus,Cyprus
A,REN,PC,CZ,2014-01-01,15.074,A,VI_PPS_EU27_2020_HAB,GDP,88,Czechia,Czechia
A,REN,PC,CZ,2015-01-01,15.07,A,VI_PPS_EU27_2020_HAB,GDP,89,Czechia,Czechia
A,REN,PC,CZ,2016-01-01,14.926,A,VI_PPS_EU27_2020_HAB,GDP,89,Czechia,Czechia
A,REN,PC,CZ,2017-01-01,14.799,A,VI_PPS_EU27_2020_HAB,GDP,92,Czechia,Czechia
A,REN,PC,CZ,2018-01-01,15.139,A,VI_PPS_EU27_2020_HAB,GDP,93,Czechia,Czechia
A,REN,PC,CZ,2019-01-01,16.239,A,VI_PPS_EU27_2020_HAB,GDP,95,Czechia,Czechia
A,REN,PC,CZ,2020-01-01,17.303,A,VI_PPS_EU27_2020_HAB,GDP,96,Czechia,Czechia
A,REN,PC,CZ,2021-01-01,17.614,A,VI_PPS_EU27_2020_HAB,GDP,92,Czechia,Czechia
A,REN,PC,CZ,2022-01-01,18.123,A,VI_PPS_EU27_2020_HAB,GDP,90,Czechia,Czechia
A,REN,PC,CZ,2023-01-01,18.555,A,VI_PPS_EU27_2020_HAB,GDP,91,Czechia,Czechia
A,REN,PC,CZ,2024-01-01,19.211,A,VI_PPS_EU27_2020_HAB,GDP,91,Czechia,Czechia
A,REN,PC,DE,2014-01-01,14.381,A,VI_PPS_EU27_2020_HAB,GDP,128,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2015-01-01,14.901,A,VI_PPS_EU27_2020_HAB,GDP,126,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2016-01-01,14.885,A,VI_PPS_EU27_2020_HAB,GDP,126,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2017-01-01,15.472,A,VI_PPS_EU27_2020_HAB,GDP,126,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2018-01-01,16.66,A,VI_PPS_EU27_2020_HAB,GDP,125,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2019-01-01,17.266,A,VI_PPS_EU27_2020_HAB,GDP,122,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2020-01-01,19.09,A,VI_PPS_EU27_2020_HAB,GDP,123,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2021-01-01,19.302,A,VI_PPS_EU27_2020_HAB,GDP,120,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2022-01-01,20.829,A,VI_PPS_EU27_2020_HAB,GDP,120,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2023-01-01,21.512,A,VI_PPS_EU27_2020_HAB,GDP,118,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DE,2024-01-01,22.474,A,VI_PPS_EU27_2020_HAB,GDP,116,Germany,Germany (until 1990 former territory of the FRG)
A,REN,PC,DK,2014-01-01,29.31,A,VI_PPS_EU27_2020_HAB,GDP,128,Denmark,Denmark
A,REN,PC,DK,2015-01-01,30.469,A,VI_PPS_EU27_2020_HAB,GDP,127,Denmark,Denmark
A,REN,PC,DK,2016-01-01,31.715,A,VI_PPS_EU27_2020_HAB,GDP,126,Denmark,Denmark
A,REN,PC,DK,2017-01-01,34.387,A,VI_PPS_EU27_2020_HAB,GDP,128,Denmark,Denmark
A,REN,PC,DK,2018-01-01,35.159,A,VI_PPS_EU27_2020_HAB,GDP,127,Denmark,Denmark
A,REN,PC,DK,2019-01-01,37.02,A,VI_PPS_EU27_2020_HAB,GDP,125,Denmark,Denmark
A,REN,PC,DK,2020-01-01,31.681,A,VI_PPS_EU27_2020_HAB,GDP,132,Denmark,Denmark
A,REN,PC,DK,2021-01-01,41.494,A,VI_PPS_EU27_2020_HAB,GDP,133,Denmark,Denmark
A,REN,PC,DK,2022-01-01,41.368,A,VI_PPS_EU27_2020_HAB,GDP,134,Denmark,Denmark
A,REN,PC,DK,2023-01-01,43.728,A,VI_PPS_EU27_2020_HAB,GDP,126,Denmark,Denmark
A,REN,PC,DK,2024-01-01,46.461,A,VI_PPS_EU27_2020_HAB,GDP,127,Denmark,Denmark
A,REN,PC,EE,2014-01-01,26.13,A,VI_PPS_EU27_2020_HAB,GDP,78,Estonia,Estonia
A,REN,PC,EE,2015-01-01,28.987,A,VI_PPS_EU27_2020_HAB,GDP,77,Estonia,Estonia
A,REN,PC,EE,2016-01-01,29.232,A,VI_PPS_EU27_2020_HAB,GDP,78,Estonia,Estonia
A,REN,PC,EE,2017-01-01,29.538,A,VI_PPS_EU27_2020_HAB,GDP,80,Estonia,Estonia
A,REN,PC,EE,2018-01-01,29.97,A,VI_PPS_EU27_2020_HAB,GDP,82,Estonia,Estonia
A,REN,PC,EE,2019-01-01,31.73,A,VI_PPS_EU27_2020_HAB,GDP,84,Estonia,Estonia
A,REN,PC,EE,2020-01-01,30.069,A,VI_PPS_EU27_2020_HAB,GDP,85,Estonia,Estonia
A,REN,PC,EE,2021-01-01,37.342,A,VI_PPS_EU27_2020_HAB,GDP,85,Estonia,Estonia
A,REN,PC,EE,2022-01-01,38.542,A,VI_PPS_EU27_2020_HAB,GDP,83,Estonia,Estonia
A,REN,PC,EE,2023-01-01,40.95,A,VI_PPS_EU27_2020_HAB,GDP,80,Estonia,Estonia
A,REN,PC,EE,2024-01-01,42.232,A,VI_PPS_EU27_2020_HAB,GDP,79,Estonia,Estonia
A,REN,PC,EL,2014-01-01,15.683,A,VI_PPS_EU27_2020_HAB,GDP,71,Greece,Greece
A,REN,PC,EL,2015-01-01,15.69,A,VI_PPS_EU27_2020_HAB,GDP,69,Greece,Greece
A,REN,PC,EL,2016-01-01,15.39,A,VI_PPS_EU27_2020_HAB,GDP,67,Greece,Greece
A,REN,PC,EL,2017-01-01,17.3,A,VI_PPS_EU27_2020_HAB,GDP,67,Greece,Greece
A,REN,PC,EL,2018-01-01,18.001,A,VI_PPS_EU27_2020_HAB,GDP,66,Greece,Greece
A,REN,PC,EL,2019-01-01,19.633,A,VI_PPS_EU27_2020_HAB,GDP,66,Greece,Greece
A,REN,PC,EL,2020-01-01,21.749,A,VI_PPS_EU27_2020_HAB,GDP,62,Greece,Greece
A,REN,PC,EL,2021-01-01,22.001,A,VI_PPS_EU27_2020_HAB,GDP,64,Greece,Greece
A,REN,PC,EL,2022-01-01,22.671,A,VI_PPS_EU27_2020_HAB,GDP,66,Greece,Greece
A,REN,PC,EL,2023-01-01,25.269,A,VI_PPS_EU27_2020_HAB,GDP,68,Greece,Greece
A,REN,PC,EL,2024-01-01,25.364,A,VI_PPS_EU27_2020_HAB,GDP,69,Greece,Greece
A,REN,PC,ES,2014-01-01,15.879,A,VI_PPS_EU27_2020_HAB,GDP,90,Spain,Spain
A,REN,PC,ES,2015-01-01,16.221,A,VI_PPS_EU27_2020_HAB,GDP,91,Spain,Spain
A,REN,PC,ES,2016-01-01,17.015,A,VI_PPS_EU27_2020_HAB,GDP,92,Spain,Spain
A,REN,PC,ES,2017-01-01,17.118,A,VI_PPS_EU27_2020_HAB,GDP,93,Spain,Spain
A,REN,PC,ES,2018-01-01,17.023,A,VI_PPS_EU27_2020_HAB,GDP,91,Spain,Spain
A,REN,PC,ES,2019-01-01,17.852,A,VI_PPS_EU27_2020_HAB,GDP,91,Spain,Spain
A,REN,PC,ES,2020-01-01,21.22,A,VI_PPS_EU27_2020_HAB,GDP,83,Spain,Spain
A,REN,PC,ES,2021-01-01,20.552,A,VI_PPS_EU27_2020_HAB,GDP,85,Spain,Spain
A,REN,PC,ES,2022-01-01,21.837,A,VI_PPS_EU27_2020_HAB,GDP,88,Spain,Spain
A,REN,PC,ES,2023-01-01,24.981,A,VI_PPS_EU27_2020_HAB,GDP,91,Spain,Spain
A,REN,PC,ES,2024-01-01,25.417,A,VI_PPS_EU27_2020_HAB,GDP,91,Spain,Spain
A,REN,PC,FI,2014-01-01,38.633,A,VI_PPS_EU27_2020_HAB,GDP,111,Finland,Finland
A,REN,PC,FI,2015-01-01,39.23,A,VI_PPS_EU27_2020_HAB,GDP,109,Finland,Finland
A,REN,PC,FI,2016-01-01,38.943,A,VI_PPS_EU27_2020_HAB,GDP,109,Finland,Finland
A,REN,PC,FI,2017-01-01,40.857,A,VI_PPS_EU27_2020_HAB,GDP,110,Finland,Finland
A,REN,PC,FI,2018-01-01,41.185,A,VI_PPS_EU27_2020_HAB,GDP,109,Finland,Finland
A,REN,PC,FI,2019-01-01,42.807,A,VI_PPS_EU27_2020_HAB,GDP,107,Finland,Finland
A,REN,PC,FI,2020-01-01,43.939,A,VI_PPS_EU27_2020_HAB,GDP,112,Finland,Finland
A,REN,PC,FI,2021-01-01,42.819,A,VI_PPS_EU27_2020_HAB,GDP,109,Finland,Finland
A,REN,PC,FI,2022-01-01,47.74,A,VI_PPS_EU27_2020_HAB,GDP,106,Finland,Finland
A,REN,PC,FI,2023-01-01,50.784,A,VI_PPS_EU27_2020_HAB,GDP,103,Finland,Finland
A,REN,PC,FI,2024-01-01,52.124,A,VI_PPS_EU27_2020_HAB,GDP,102,Finland,Finland
A,REN,PC,FR,2014-01-01,14.362,A,VI_PPS_EU27_2020_HAB,GDP,108,France,France
A,REN,PC,FR,2015-01-01,14.803,A,VI_PPS_EU27_2020_HAB,GDP,106,France,France
A,REN,PC,FR,2016-01-01,15.451,A,VI_PPS_EU27_2020_HAB,GDP,105,France,France
A,REN,PC,FR,2017-01-01,15.847,A,VI_PPS_EU27_2020_HAB,GDP,103,France,France
A,REN,PC,FR,2018-01-01,16.384,A,VI_PPS_EU27_2020_HAB,GDP,103,France,France
A,REN,PC,FR,2019-01-01,17.174,A,VI_PPS_EU27_2020_HAB,GDP,105,France,France
A,REN,PC,FR,2020-01-01,19.109,A,VI_PPS_EU27_2020_HAB,GDP,104,France,France
A,REN,PC,FR,2021-01-01,19.391,A,VI_PPS_EU27_2020_HAB,GDP,101,France,France
A,REN,PC,FR,2022-01-01,20.33,A,VI_PPS_EU27_2020_HAB,GDP,97,France,France
A,REN,PC,FR,2023-01-01,22.462,A,VI_PPS_EU27_2020_HAB,GDP,99,France,France
A,REN,PC,FR,2024-01-01,23.229,A,VI_PPS_EU27_2020_HAB,GDP,98,France,France
A,REN,PC,HR,2014-01-01,27.817,A,VI_PPS_EU27_2020_HAB,GDP,60,Croatia,Croatia
A,REN,PC,HR,2015-01-01,28.969,A,VI_PPS_EU27_2020_HAB,GDP,61,Croatia,Croatia
A,REN,PC,HR,2016-01-01,28.266,A,VI_PPS_EU27_2020_HAB,GDP,62,Croatia,Croatia
A,REN,PC,HR,2017-01-01,27.28,A,VI_PPS_EU27_2020_HAB,GDP,63,Croatia,Croatia
A,REN,PC,HR,2018-01-01,28.047,A,VI_PPS_EU27_2020_HAB,GDP,64,Croatia,Croatia
A,REN,PC,HR,2019-01-01,28.466,A,VI_PPS_EU27_2020_HAB,GDP,67,Croatia,Croatia
A,REN,PC,HR,2020-01-01,31.023,A,VI_PPS_EU27_2020_HAB,GDP,66,Croatia,Croatia
A,REN,PC,HR,2021-01-01,31.285,A,VI_PPS_EU27_2020_HAB,GDP,70,Croatia,Croatia
A,REN,PC,HR,2022-01-01,28.088,A,VI_PPS_EU27_2020_HAB,GDP,72,Croatia,Croatia
A,REN,PC,HR,2023-01-01,28.088,A,VI_PPS_EU27_2020_HAB,GDP,78,Croatia,Croatia
A,REN,PC,HR,2024-01-01,26.477,A,VI_PPS_EU27_2020_HAB,GDP,78,Croatia,Croatia
A,REN,PC,HU,2014-01-01,14.618,A,VI_PPS_EU27_2020_HAB,GDP,69,Hungary,Hungary
A,REN,PC,HU,2015-01-01,14.495,A,VI_PPS_EU27_2020_HAB,GDP,70,Hungary,Hungary
A,REN,PC,HU,2016-01-01,14.377,A,VI_PPS_EU27_2020_HAB,GDP,69,Hungary,Hungary
A,REN,PC,HU,2017-01-01,13.556,A,VI_PPS_EU27_2020_HAB,GDP,69,Hungary,Hungary
A,REN,PC,HU,2018-01-01,12.548,A,VI_PPS_EU27_2020_HAB,GDP,72,Hungary,Hungary
A,REN,PC,HU,2019-01-01,12.634,A,VI_PPS_EU27_2020_HAB,GDP,73,Hungary,Hungary
A,REN,PC,HU,2020-01-01,13.85,A,VI_PPS_EU27_2020_HAB,GDP,75,Hungary,Hungary
A,REN,PC,HU,2021-01-01,14.134,A,VI_PPS_EU27_2020_HAB,GDP,75,Hungary,Hungary
A,REN,PC,HU,2022-01-01,15.128,A,VI_PPS_EU27_2020_HAB,GDP,76,Hungary,Hungary
A,REN,PC,HU,2023-01-01,17.117,A,VI_PPS_EU27_2020_HAB,GDP,76,Hungary,Hungary
A,REN,PC,HU,2024-01-01,18.264,A,VI_PPS_EU27_2020_HAB,GDP,76,Hungary,Hungary
A,REN,PC,IE,2014-01-01,8.516,A,VI_PPS_EU27_2020_HAB,GDP,141,Ireland,Ireland
A,REN,PC,IE,2015-01-01,9.083,A,VI_PPS_EU27_2020_HAB,GDP,185,Ireland,Ireland
A,REN,PC,IE,2016-01-01,9.189,A,VI_PPS_EU27_2020_HAB,GDP,178,Ireland,Ireland
A,REN,PC,IE,2017-01-01,10.52,A,VI_PPS_EU27_2020_HAB,GDP,187,Ireland,Ireland
A,REN,PC,IE,2018-01-01,10.942,A,VI_PPS_EU27_2020_HAB,GDP,192,Ireland,Ireland
A,REN,PC,IE,2019-01-01,11.979,A,VI_PPS_EU27_2020_HAB,GDP,190,Ireland,Ireland
A,REN,PC,IE,2020-01-01,16.16,A,VI_PPS_EU27_2020_HAB,GDP,205,Ireland,Ireland
A,REN,PC,IE,2021-01-01,12.945,A,VI_PPS_EU27_2020_HAB,GDP,225,Ireland,Ireland
